Age,Gender,Unit_Price,Quantity,Is_Returning_Customer,Delivery_Time_Days,Year,Month,Day,DayOfWeek,Quarter,IsWeekend,Discount_Percentage,Avg_Spending_City,Product_Beauty,Product_Books,Product_Electronics,Product_Fashion,Product_Food,Product_Home & Garden,Product_Sports,Product_Toys,Payment_Bank Transfer,Payment_Cash on Delivery,Payment_Credit Card,Payment_Debit Card,Payment_Digital Wallet,Device_Desktop,Device_Mobile,Device_Tablet,Engagement_Score,Pages_per_Minute,Browsing_to_Delivery_Ratio,Rating_Deviation,Age_Teen,Age_Young_Adult,Age_Adult,Age_Middle_Aged,Age_Senior,Age_Elder,Seg_Female_Adult,Seg_Female_Elder,Seg_Female_Middle_Aged,Seg_Female_Senior,Seg_Female_Teen,Seg_Female_Young_Adult,Seg_Male_Adult,Seg_Male_Elder,Seg_Male_Middle_Aged,Seg_Male_Senior,Seg_Male_Teen,Seg_Male_Young_Adult,Seg_Other_Adult,Seg_Other_Middle_Aged,Seg_Other_Senior,Seg_Other_Teen,Seg_Other_Young_Adult,Total_Amount,Avg_Spending_Gender,Relative_Spending,Age_Group,Avg_Spending_AgeGroup,AgeGroup_Spending_Deviation,Engagement_per_Year,Payment_Method,Gender_Payment_Female_Bank Transfer,Gender_Payment_Female_Cash on Delivery,Gender_Payment_Female_Credit Card,Gender_Payment_Female_Debit Card,Gender_Payment_Female_Digital Wallet,Gender_Payment_Male_Bank Transfer,Gender_Payment_Male_Cash on Delivery,Gender_Payment_Male_Credit Card,Gender_Payment_Male_Debit Card,Gender_Payment_Male_Digital Wallet,Gender_Payment_Other_Bank Transfer,Gender_Payment_Other_Cash on Delivery,Gender_Payment_Other_Credit Card,Gender_Payment_Other_Debit Card,Gender_Payment_Other_Digital Wallet,Age_x_Gender,Order_ID,Customer_ID,Date,City,Product_Category,Discount_Amount,Device_Type,Session_Duration_Minutes,Pages_Viewed,Customer_Rating
27,0,54.28,1,True,8,2023,1,1,6,1,1,0.0,925.5570766129032,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,0.0604332953249714,3.5,0.4375,0.2743,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,54.28,992.7806019261636,0.054674718557844,Adult,948.9059180977544,-894.6259180977544,0.0022382701972211,Debit Card,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,ORD_001337,CUST_01337,2023-01-01,Bursa,Toys,0.0,Mobile,4,14,5
42,1,244.9,1,True,3,2023,1,1,6,1,1,0.0,1088.2490220820189,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,0.0342075256556442,0.2727272727272727,0.0909090909090909,-0.2257,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,244.9,977.8351950718686,0.2504512020371699,Middle_Aged,993.3129057591624,-748.4129057591623,0.0008144648965629,Credit Card,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,42,ORD_004885,CUST_04885,2023-01-01,Konya,Toys,0.0,Mobile,11,3,3
43,0,48.15,5,True,5,2023,1,1,6,1,1,0.0,894.6065578231292,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,0.0604332953249714,1.1428571428571428,0.2285714285714285,-0.4757,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,240.75,992.7806019261636,0.2425007091525599,Middle_Aged,993.3129057591624,-752.5629057591623,0.0014054254726737,Credit Card,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,ORD_004507,CUST_04507,2023-01-01,Ankara,Food,0.0,Mobile,7,8,2
32,1,804.06,1,False,1,2023,1,1,6,1,1,28.5152849289854,1039.036261682243,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0.0877993158494868,1.25,1.25,0.0242999999999999,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,574.78,977.8351950718686,0.5878086643810719,Adult,948.9059180977544,-374.1259180977544,0.0027437286202964,Credit Card,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,32,ORD_000645,CUST_00645,2023-01-01,Istanbul,Electronics,229.28,Mobile,8,10,4
40,0,755.61,5,True,7,2023,1,1,6,1,1,0.0,1039.036261682243,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,0.2360319270239452,0.4761904761904761,0.0680272108843537,0.0242999999999999,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3778.05,992.7806019261636,3.805523589673226,Middle_Aged,993.3129057591624,2784.737094240838,0.0059007981755986,Cash on Delivery,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,ORD_000690,CUST_00690,2023-01-01,Istanbul,Sports,0.0,Desktop,21,10,4
43,0,122.46,1,True,9,2023,1,1,6,1,1,0.0,1039.036261682243,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0.1402508551881414,0.6428571428571429,0.0714285714285714,0.2743,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,122.46,992.7806019261636,0.1233505164810903,Middle_Aged,993.3129057591624,-870.8529057591622,0.003261647795073,Credit Card,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,ORD_000223,CUST_00223,2023-01-01,Istanbul,Beauty,0.0,Mobile,14,9,5
25,0,2107.37,2,False,6,2023,1,1,6,1,1,0.0,945.8911166666668,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,0.0535917901938426,0.5,0.0833333333333333,0.2743,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,4214.74,992.7806019261636,4.245389154283117,Young_Adult,1004.3452976190476,3210.3947023809524,0.0021436716077537,Digital Wallet,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,ORD_002506,CUST_02506,2023-01-01,Izmir,Electronics,0.0,Desktop,10,5,5
44,1,213.64,2,False,3,2023,1,1,6,1,1,0.0,1088.2490220820189,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,0.1790193842645382,1.6,0.5333333333333333,0.2743,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,427.28,977.8351950718686,0.436965249515892,Middle_Aged,993.3129057591624,-566.0329057591623,0.0040686223696485,Credit Card,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,44,ORD_004540,CUST_04540,2023-01-01,Konya,Food,0.0,Mobile,10,16,5
41,1,257.62,5,False,2,2023,1,2,0,1,0,4.824935952177626,1039.036261682243,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,0.1881413911060433,0.2916666666666667,0.1458333333333333,0.0242999999999999,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1225.95,977.8351950718686,1.2537388776540157,Middle_Aged,993.3129057591624,232.63709424083777,0.0045888144172205,Credit Card,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,41,ORD_001808,CUST_01808,2023-01-02,Istanbul,Fashion,62.15,Tablet,24,7,4
58,1,1784.75,4,True,5,2023,1,2,0,1,0,6.8672082924779385,1039.036261682243,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,0.0421892816419612,0.625,0.125,0.0242999999999999,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,6648.75,977.8351950718686,6.799458675151627,Senior,991.7608411214952,5656.989158878505,0.00072740140762,Debit Card,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,58,ORD_003413,CUST_03413,2023-01-02,Istanbul,Sports,490.25,Desktop,8,5,4
